name,price,description,stock,sku,category,tag,weight,dimension,scraping_method
Ariados,85.0,Ariados’s feet are tipped with tiny hooked claws that enable it to scuttle on ceilings and vertical walls. This Pokémon constricts the foe with thin and strong silk webbing.,50 in stock,9759,"Long Leg, Pokemon","ariados, Long Leg, Swarm",73.9 kg,3 x 3 x 3 cm,Selenium
Crobat,195.0,Crobat sneaks up on its intended prey using wings that barely make a sound. This Pokémon rests by hanging on a tree branch with its rear legs that serve as wings.,245 in stock,6120,"Bat, Pokemon","Bat, crobat, Inner Focus",165.3 kg,5 x 5 x 5 cm,Selenium
Chinchou,59.0,"Chinchou’s two antennas are filled with cells that generate strong electricity. This Pokémon’s cells create so much electrical power, it even makes itself tingle slightly.",130 in stock,2651,"Angler, Pokemon","Angler, chinchou, Illuminate",26.5 kg,1 x 1 x 1 cm,Selenium
Lanturn,131.0,"Lanturn is known to emit light. If you peer down into the dark sea from a ship at night, you can sometimes see this Pokémon’s light rising from the depths where it swims. It gives the sea an appearance of a starlit night.",218 in stock,7579,"Light, Pokemon","Illuminate, lanturn, Light",49.6 kg,3 x 3 x 3 cm,Selenium
Pichu,193.0,"When Pichu plays with others, it may short out electricity with another Pichu, creating a shower of sparks. In that event, this Pokémon will begin crying, startled by the flash of sparks.",64 in stock,4987,"Pokemon, Tiny Mouse","pichu, Static, Tiny Mouse",4.4 kg,1 x 1 x 1 cm,Selenium
Cleffa,107.0,"On nights with many shooting stars, Cleffa can be seen dancing in a ring. They dance through the night and stop only at the break of day, when these Pokémon quench their thirst with the morning dew.",187 in stock,2794,"Pokemon, Star Shape","cleffa, Cute Charm, Star Shape",6.6 kg,1 x 1 x 1 cm,Selenium
Igglybuff,189.0,Igglybuff has a soft and plushy body that feels very much like a marshmallow. From this body wafts a gently sweet fragrance that soothes and calms the emotions of its foes.,170 in stock,2662,"Balloon, Pokemon","Balloon, Cute Charm, igglybuff",2.2 kg,1 x 1 x 1 cm,Selenium
Togepi,47.0,"As its energy, Togepi uses the positive emotions of compassion and pleasure exuded by people and Pokémon. This Pokémon stores up feelings of happiness inside its shell, then shares them with others.",264 in stock,1684,"Pokemon, Spike Ball","Serene Grace, Spike Ball, togepi",3.3 kg,1 x 1 x 1 cm,Selenium
Togetic,69.0,"Togetic is said to be a Pokémon that brings good fortune. When the Pokémon spots someone who is pure of heart, it is said to appear and share its happiness with that person.",293 in stock,9410,"Happiness, Pokemon","Happiness, Serene Grace, togetic",7.1 kg,2 x 2 x 2 cm,Selenium
Natu,99.0,Natu has a highly developed jumping ability. The Pokémon flaps and leaps onto tree branches that are taller than grown-up people to pick at the tree’s new shoots.,36 in stock,2942,"Pokemon, Tiny Bird","natu, Synchronize, Tiny Bird",4.4 kg,2 x 2 x 2 cm,Selenium
Xatu,123.0,Xatu is known to stand motionless while staring at the sun all day long. Some people revere it as a mystical Pokémon out of their belief that Xatu is in possession of the power to see into the future.,196 in stock,7616,"Mystic, Pokemon","Mystic, Synchronize, xatu",33.1 kg,4 x 4 x 4 cm,Selenium
Mareep,79.0,"Mareep’s fluffy coat of wool rubs together and builds a static charge. The more static electricity is charged, the more brightly the lightbulb at the tip of its tail glows.",152 in stock,2016,"Pokemon, Wool","mareep, Static, Wool",17.2 kg,2 x 2 x 2 cm,Selenium
Flaaffy,163.0,Flaaffy’s wool quality changes so that it can generate a high amount of static electricity with a small amount of wool. The bare and slick parts of its hide are shielded against electricity.,64 in stock,9291,"Pokemon, Wool","flaaffy, Static, Wool",29.3 kg,2 x 2 x 2 cm,Selenium
Ampharos,41.0,Ampharos gives off so much light that it can be seen even from space. People in the old days used the light of this Pokémon to send signals back and forth with others far away.,247 in stock,2141,"Light, Pokemon","ampharos, Light, Static",135.6 kg,4 x 4 x 4 cm,Selenium
Bellossom,25.0,"A Bellossom grows flowers more beautifully if it has evolved from a smelly Gloom—the more stinky the better. At night, this Pokémon closes its petals and goes to sleep.",234 in stock,7003,"Flower, Pokemon","bellossom, Chlorophyll, Flower",12.8 kg,1 x 1 x 1 cm,Selenium
Marill,127.0,"When fishing for food at the edge of a fast-running stream, Marill wraps its tail around the trunk of a tree. This Pokémon’s tail is flexible and configured to stretch.",55 in stock,4728,"Aqua Mouse, Pokemon","Aqua Mouse, marill, Thick Fat",18.7 kg,1 x 1 x 1 cm,Selenium
Azumarill,175.0,Azumarill can make balloons out of air. It makes these air balloons if it spots a drowning Pokémon. The air balloons enable the Pokémon in trouble to breathe.,300 in stock,9464,"Aqua Rabbit, Pokemon","Aqua Rabbit, azumarill, Thick Fat",62.8 kg,2 x 2 x 2 cm,Selenium
Sudowoodo,54.0,"Sudowoodo camouflages itself as a tree to avoid being attacked by enemies. However, because its hands remain green throughout the year, the Pokémon is easily identified as a fake during the winter.",147 in stock,1558,"Imitation, Pokemon","Imitation, Rock Head, sudowoodo",83.8 kg,3 x 3 x 3 cm,Selenium
Politoed,193.0,"The curled hair on Politoed’s head is proof of its status as a king. It is said that the longer and more curled the hair, the more respect this Pokémon earns from its peers.",261 in stock,9168,"Frog, Pokemon","Damp, Frog, politoed",74.7 kg,3 x 3 x 3 cm,Selenium
Hoppip,107.0,"This Pokémon drifts and floats with the wind. If it senses the approach of strong winds, Hoppip links its leaves with other Hoppip to prepare against being blown away.",266 in stock,1154,"Cottonweed, Pokemon","Chlorophyll, Cottonweed, hoppip",1.1 kg,1 x 1 x 1 cm,Selenium
Skiploom,185.0,"Skiploom’s flower blossoms when the temperature rises above 64 degrees Fahrenheit. How much the flower opens depends on the temperature. For that reason, this Pokémon is sometimes used as a thermometer.",94 in stock,2616,"Cottonweed, Pokemon","Chlorophyll, Cottonweed, skiploom",2.2 kg,2 x 2 x 2 cm,Selenium
Jumpluff,107.0,Jumpluff rides warm southern winds to cross the sea and fly to foreign lands. The Pokémon descends to the ground when it encounters cold air while it is floating.,235 in stock,2168,"Cottonweed, Pokemon","Chlorophyll, Cottonweed, jumpluff",6.6 kg,2 x 2 x 2 cm,Selenium
Aipom,182.0,"Aipom’s tail ends in a hand-like appendage that can be cleverly manipulated. However, because the Pokémon uses its tail so much, its real hands have become rather clumsy.",92 in stock,8103,"Long Tail, Pokemon","aipom, Long Tail, Run Away",25.4 kg,2 x 2 x 2 cm,Selenium
Sunkern,150.0,"Sunkern tries to move as little as it possibly can. It does so because it tries to conserve all the nutrients it has stored in its body for its evolution. It will not eat a thing, subsisting only on morning dew.",255 in stock,4061,"Pokemon, Seed","Chlorophyll, Seed, sunkern",4 kg,1 x 1 x 1 cm,Selenium
Sunflora,33.0,Sunflora converts solar energy into nutrition. It moves around actively in the daytime when it is warm. It stops moving as soon as the sun goes down for the night.,163 in stock,7947,"Pokemon, Sun","Chlorophyll, sun, sunflora",18.7 kg,2 x 2 x 2 cm,Selenium
Yanma,130.0,Yanma is capable of seeing 360 degrees without having to move its eyes. It is a great flier that is adept at making sudden stops and turning midair. This Pokémon uses its flying ability to quickly chase down targeted prey.,130 in stock,8321,"Clear Wing, Pokemon","Clear Wing, Compound Eyes, yanma",83.8 kg,3 x 3 x 3 cm,Selenium
Wooper,98.0,"Wooper usually lives in water. However, it occasionally comes out onto land in search of food. On land, it coats its body with a gooey, toxic film.",48 in stock,4198,"Pokemon, Water Fish","Damp, Water Fish, wooper",18.7 kg,1 x 1 x 1 cm,Selenium
Quagsire,37.0,"Quagsire hunts for food by leaving its mouth wide open in water and waiting for its prey to blunder in unaware. Because the Pokémon does not move, it does not get very hungry.",292 in stock,2688,"Pokemon, Water Fish","Damp, quagsire, Water Fish",165.3 kg,4 x 4 x 4 cm,Selenium
Espeon,177.0,Espeon is extremely loyal to any Trainer it considers to be worthy. It is said that this Pokémon developed its precognitive powers to protect its Trainer from harm.,153 in stock,9676,"Pokemon, Sun","espeon, sun, Synchronize",58.4 kg,2 x 2 x 2 cm,Selenium
Umbreon,78.0,Umbreon evolved as a result of exposure to the moon’s waves. It hides silently in darkness and waits for its foes to make a move. The rings on its body glow when it leaps to attack.,186 in stock,4995,"Moonlight, Pokemon","Moonlight, Synchronize, umbreon",59.5 kg,3 x 3 x 3 cm,Selenium
Murkrow,178.0,Murkrow was feared and loathed as the alleged bearer of ill fortune. This Pokémon shows strong interest in anything that sparkles or glitters. It will even try to steal rings from women.,246 in stock,2223,"Darkness, Pokemon","Darkness, Insomnia, murkrow",4.6 kg,1 x 1 x 1 cm,Selenium
Slowking,174.0,"Slowking undertakes research every day in an effort to solve the mysteries of the world. However, this Pokémon apparently forgets everything it has learned if the Shellder on its head comes off.",55 in stock,9664,"Pokemon, Royal","Oblivious, Royal, slowking",175.3 kg,6 x 6 x 6 cm,Selenium
Misdreavus,33.0,"Misdreavus frightens people with a creepy, sobbing cry. The Pokémon apparently uses its red spheres to absorb the fearful feelings of foes and turn them into nutrition.",207 in stock,9272,"Pokemon, Screech","Levitate, misdreavus, Screech",2.2 kg,2 x 2 x 2 cm,Selenium
Unown,198.0,"This Pokémon is shaped like ancient writing. It is a mystery as to which came first, the ancient writings or the various Unown. Research into this topic is ongoing but nothing is known.",47 in stock,9561,"Pokemon, Symbol","Levitate, Symbol, unown",11 kg,1 x 1 x 1 cm,Selenium
Wobbuffet,107.0,"Wobbuffet does nothing but endure attacks—it won’t attack on its own. However, it won’t endure an attack on its tail. When that happens, the Pokémon will try to take the foe with it using Destiny Bond.",113 in stock,6138,"Patient, Pokemon","Patient, Shadow Tag, wobbuffet",62.8 kg,4 x 4 x 4 cm,Selenium
Girafarig,99.0,"Girafarig’s rear head contains a tiny brain that is too small for thinking. However, the rear head doesn’t need to sleep, so it can keep watch over its surroundings 24 hours a day.",31 in stock,7871,"Long Neck, Pokemon","girafarig, Inner Focus, Long Neck",91.5 kg,4 x 4 x 4 cm,Selenium
Gligar,112.0,"Gligar glides through the air without a sound as if it were sliding. This Pokémon hangs on to the face of its foe using its clawed hind legs and the large pincers on its forelegs, then injects the prey with its poison barb.",140 in stock,5090,"Fly Scorpion, Pokemon","Fly Scorpion, gligar, Sand Veil",142.9 kg,3 x 3 x 3 cm,Selenium
Steelix,116.0,Steelix lives even further underground than Onix. This Pokémon is known to dig toward the earth’s core. There are records of this Pokémon reaching a depth of over six-tenths of a mile underground.,157 in stock,4345,"Iron Snake, Pokemon","Iron Snake, Rock Head, steelix",881.8 kg,30 x 30 x 30 cm,Selenium
Snubbull,63.0,"By baring its fangs and making a scary face, Snubbull sends smaller Pokémon scurrying away in terror. However, this Pokémon seems a little sad at making its foes flee.",164 in stock,3961,"Fairy, Pokemon","Fairy, Run Away, snubbull",17.2 kg,2 x 2 x 2 cm,Selenium
Granbull,59.0,"Granbull has a particularly well-developed lower jaw. The enormous fangs are heavy, causing the Pokémon to tip its head back for balance. Unless it is startled, it will not try to bite indiscriminately.",171 in stock,7346,"Fairy, Pokemon","Fairy, granbull, Intimidate",107.4 kg,4 x 4 x 4 cm,Selenium
Qwilfish,77.0,"Qwilfish sucks in water, inflating itself. This Pokémon uses the pressure of the water it swallowed to shoot toxic quills all at once from all over its body. It finds swimming somewhat challenging.",297 in stock,3335,"Balloon, Pokemon","Balloon, Poison Point, qwilfish",8.6 kg,1 x 1 x 1 cm,Selenium
Scizor,172.0,Scizor has a body with the hardness of steel. It is not easily fazed by ordinary sorts of attacks. This Pokémon flaps its wings to regulate its body temperature.,198 in stock,9056,"Pincer, Pokemon","Pincer, scizor, Swarm",260.1 kg,5 x 5 x 5 cm,Selenium
Shuckle,194.0,"Shuckle quietly hides itself under rocks, keeping its body concealed inside its hard shell while eating berries it has stored away. The berries mix with its body fluids to become a juice.",74 in stock,7903,"Mold, Pokemon","Mold, shuckle, Sturdy",45.2 kg,2 x 2 x 2 cm,Selenium
Heracross,143.0,"Heracross has sharp claws on its feet. These are planted firmly into the ground or the bark of a tree, giving the Pokémon a secure and solid footing to forcefully fling away foes with its proud horn.",49 in stock,9256,"Pokemon, Single Horn","heracross, Single Horn, Swarm",119 kg,4 x 4 x 4 cm,Selenium
Sneasel,108.0,Sneasel scales trees by punching its hooked claws into the bark. This Pokémon seeks out unguarded nests and steals eggs for food while the parents are away.,141 in stock,5017,"Pokemon, Sharp Claw","Keen Eye, Sharp Claw, sneasel",61.7 kg,2 x 2 x 2 cm,Selenium
Teddiursa,173.0,This Pokémon likes to lick its palms that are sweetened by being soaked in honey. Teddiursa concocts its own honey by blending fruits and pollen collected by Beedrill.,274 in stock,7681,"Little Bear, Pokemon","Little Bear, Pickup, teddiursa",19.4 kg,2 x 2 x 2 cm,Selenium
Ursaring,31.0,"In the forests inhabited by Ursaring, it is said that there are many streams and towering trees where they gather food. This Pokémon walks through its forest gathering food every day.",209 in stock,7576,"Hibernator, Pokemon","Guts, Hibernator, ursaring",277.3 kg,5 x 5 x 5 cm,Selenium
Magcargo,36.0,"Magcargo’s body temperature is approximately 18,000 degrees Fahrenheit. Water is vaporized on contact. If this Pokémon is caught in the rain, the raindrops instantly turn into steam, cloaking the area in a thick fog.",210 in stock,3917,"Lava, Pokemon","Flame Body, Lava, magcargo",121.3 kg,2 x 2 x 2 cm,Selenium
Swinub,132.0,Swinub roots for food by rubbing its snout against the ground. Its favorite food is a mushroom that grows under the cover of dead grass. This Pokémon occasionally roots out hot springs.,250 in stock,8647,"Pig, Pokemon","Oblivious, Pig, swinub",14.3 kg,1 x 1 x 1 cm,Selenium
Piloswine,84.0,Piloswine is covered by a thick coat of long hair that enables it to endure the freezing cold. This Pokémon uses its tusks to dig up food that has been buried under ice.,276 in stock,4003,"Pokemon, Swine","Oblivious, piloswine, Swine",123 kg,3 x 3 x 3 cm,Selenium
Corsola,27.0,"Clusters of Corsola congregate in warm seas where they serve as ideal hiding places for smaller Pokémon. When the water temperature falls, this Pokémon migrates to the southern seas.",162 in stock,5281,"Coral, Pokemon","Coral, corsola, Natural Cure",11 kg,2 x 2 x 2 cm,Selenium
Remoraid,122.0,"Remoraid sucks in water, then expels it at high velocity using its abdominal muscles to shoot down flying prey. When evolution draws near, this Pokémon travels downstream from rivers.",46 in stock,4952,"Jet, Pokemon","Jet, remoraid, Sniper",26.5 kg,2 x 2 x 2 cm,Selenium
Octillery,94.0,"Octillery grabs onto its foe using its tentacles. This Pokémon tries to immobilize it before delivering the finishing blow. If the foe turns out to be too strong, Octillery spews ink to escape.",150 in stock,9000,"Jet, Pokemon","Jet, octillery, Sniper",62.8 kg,2 x 2 x 2 cm,Selenium
Delibird,121.0,"Delibird carries its food bundled up in its tail. There once was a famous explorer who managed to reach the peak of the world’s highest mountain, thanks to one of these Pokémon sharing its food.",141 in stock,6280,"Delivery, Pokemon","delibird, Delivery, Vital Spirit",35.3 kg,2 x 2 x 2 cm,Selenium
Mantine,114.0,"On sunny days, schools of Mantine can be seen elegantly leaping over the sea’s waves. This Pokémon is not bothered by the Remoraid that hitches rides.",195 in stock,3704,"Kite, Pokemon","Kite, mantine, Water Absorb",485 kg,6 x 6 x 6 cm,Selenium
Skarmory,199.0,"Skarmory’s steel wings become tattered and bashed in from repeated battles. Once a year, the battered wings grow back completely, restoring the cutting edges to their pristine state.",102 in stock,1057,"Armor Bird, Pokemon","Armor Bird, Keen Eye, skarmory",111.3 kg,5 x 5 x 5 cm,Selenium
Houndour,144.0,Houndour hunt as a coordinated pack. They communicate with each other using a variety of cries to corner their prey. This Pokémon’s remarkable teamwork is unparalleled.,184 in stock,7965,"Dark, Pokemon","Dark, Flash Fire, houndour",23.8 kg,2 x 2 x 2 cm,Selenium
Houndoom,78.0,"In a Houndoom pack, the one with its horns raked sharply toward the back serves a leadership role. These Pokémon choose their leader by fighting among themselves.",40 in stock,2081,"Dark, Pokemon","Dark, Flash Fire, houndoom",77.2 kg,4 x 4 x 4 cm,Selenium
Kingdra,124.0,"Kingdra sleeps on the seafloor where it is otherwise devoid of life. When a storm arrives, the Pokémon is said to awaken and wander about in search of prey.",206 in stock,7090,"Dragon, Pokemon","Dragon, kingdra, Swift Swim",335.1 kg,5 x 5 x 5 cm,Selenium
Phanpy,129.0,"Phanpy uses its long nose to shower itself. When others gather around, they thoroughly douse each other with water. These Pokémon can be seen drying their soaking-wet bodies at the edge of water.",120 in stock,7852,"Long Nose, Pokemon","Long Nose, phanpy, Pickup",73.9 kg,1 x 1 x 1 cm,Selenium
Donphan,89.0,"If Donphan were to tackle with its hard body, even a house could be destroyed. Using its massive strength, the Pokémon helps clear rock and mud slides that block mountain trails.",197 in stock,3134,"Armor, Pokemon","Armor, donphan, Sturdy",264.6 kg,3 x 3 x 3 cm,Selenium
Porygon2,151.0,Porygon2 was created by humans using the power of science. The man-made Pokémon has been endowed with artificial intelligence that enables it to learn new gestures and emotions on its own.,210 in stock,4420,"Pokemon, Virtual","porygon2, Trace, Virtual",71.6 kg,2 x 2 x 2 cm,Selenium
Stantler,33.0,"Stantler’s magnificent antlers were traded at high prices as works of art. As a result, this Pokémon was hunted close to extinction by those who were after the priceless antlers.",278 in stock,3706,"Big Horn, Pokemon","Big Horn, Intimidate, stantler",157 kg,4 x 4 x 4 cm,Selenium
Smeargle,151.0,"Smeargle marks the boundaries of its territory using a body fluid that leaks out from the tip of its tail. Over 5,000 different marks left by this Pokémon have been found.",56 in stock,6497,"Painter, Pokemon","Painter, smeargle, Technician",127.9 kg,3 x 3 x 3 cm,Selenium
Tyrogue,145.0,"Tyrogue becomes stressed out if it does not get to train every day. When raising this Pokémon, the Trainer must establish and uphold various training methods.",76 in stock,7594,"Pokemon, Scuffle","Guts, Scuffle, tyrogue",46.3 kg,2 x 2 x 2 cm,Selenium
Hitmontop,149.0,"Hitmontop spins on its head at high speed, all the while delivering kicks. This technique is a remarkable mix of both offense and defense at the same time. The Pokémon travels faster spinning than it does walking.",47 in stock,3340,"Handstand, Pokemon","Handstand, hitmontop, Intimidate",105.8 kg,4 x 4 x 4 cm,Selenium
Smoochum,166.0,"Smoochum actively runs about, but also falls quite often. Whenever the chance arrives, it will look for its reflection to make sure its face hasn’t become dirty.",116 in stock,7637,"Kiss, Pokemon","Kiss, Oblivious, smoochum",13.2 kg,1 x 1 x 1 cm,Selenium
Elekid,104.0,"Elekid stores electricity in its body. If it touches metal and accidentally discharges all its built-up electricity, this Pokémon begins swinging its arms in circles to recharge itself.",131 in stock,5157,"Electric, Pokemon","Electric, elekid, Static",51.8 kg,2 x 2 x 2 cm,Selenium
Magby,40.0,"Magby’s state of health is determined by observing the fire it breathes. If the Pokémon is spouting yellow flames from its mouth, it is in good health. When it is fatigued, black smoke will be mixed in with the flames.",21 in stock,5864,"Live Coal, Pokemon","Flame Body, Live Coal, magby",47.2 kg,2 x 2 x 2 cm,Selenium
Miltank,26.0,Miltank gives over five gallons of milk on a daily basis. Its sweet milk is enjoyed by children and grown-ups alike. People who can’t drink milk turn it into yogurt and eat it instead.,12 in stock,1586,"Milk Cow, Pokemon","Milk Cow, miltank, Thick Fat",166.4 kg,3 x 3 x 3 cm,Selenium
Blissey,31.0,"Blissey senses sadness with its fluffy coat of fur. If it does so, this Pokémon will rush over to a sad person, no matter how far away, to share a Lucky Egg that brings a smile to any face.",289 in stock,8632,"Happiness, Pokemon","blissey, Happiness, Natural Cure",103.2 kg,4 x 4 x 4 cm,Selenium
Raikou,66.0,Raikou embodies the speed of lightning. The roars of this Pokémon send shock waves shuddering through the air and shake the ground as if lightning bolts had come crashing down.,276 in stock,5989,"Pokemon, Thunder","Pressure, raikou, Thunder",392.4 kg,6 x 6 x 6 cm,Selenium
Entei,27.0,Entei embodies the passion of magma. This Pokémon is thought to have been born in the eruption of a volcano. It sends up massive bursts of fire that utterly consume all that they touch.,36 in stock,9592,"Pokemon, Volcano","entei, Pressure, Volcano",436.5 kg,6 x 6 x 6 cm,Selenium
Suicune,68.0,Suicune embodies the compassion of a pure spring of water. It runs across the land with gracefulness. This Pokémon has the power to purify dirty water.,275 in stock,8586,"Aurora, Pokemon","Aurora, Pressure, suicune",412.3 kg,6 x 6 x 6 cm,Selenium
Larvitar,26.0,"Larvitar is born deep under the ground. To come up to the surface, this Pokémon must eat its way through the soil above. Until it does so, Larvitar cannot see its parents.",31 in stock,9302,"Pokemon, Rock Skin","Guts, larvitar, Rock Skin",158.7 kg,2 x 2 x 2 cm,Selenium
Pupitar,114.0,Pupitar creates a gas inside its body that it compresses and forcefully ejects to propel itself like a jet. The body is very durable—it avoids damage even if it hits solid steel.,221 in stock,4140,"Hard Shell, Pokemon","Hard Shell, pupitar, Shed Skin",335.1 kg,3 x 3 x 3 cm,Selenium
Tyranitar,190.0,"Tyranitar is so overwhelmingly powerful, it can bring down a whole mountain to make its nest. This Pokémon wanders about in mountains seeking new opponents to fight.",86 in stock,8144,"Armor, Pokemon","Armor, Sand Stream, tyranitar",445.3 kg,6 x 6 x 6 cm,Selenium
Lugia,86.0,"Lugia’s wings pack devastating power—a light fluttering of its wings can blow apart regular houses. As a result, this Pokémon chooses to live out of sight deep under the sea.",57 in stock,2564,"Diving, Pokemon","Diving, lugia, Pressure",476.2 kg,17 x 17 x 17 cm,Selenium
Ho-oh,91.0,Ho-Oh’s feathers glow in seven colors depending on the angle at which they are struck by light. These feathers are said to bring happiness to the bearers. This Pokémon is said to live at the foot of a rainbow.,228 in stock,2198,"Pokemon, Rainbow","ho-oh, Pressure, Rainbow",438.7 kg,12 x 12 x 12 cm,Selenium
Celebi,111.0,"This Pokémon came from the future by crossing over time. It is thought that so long as Celebi appears, a bright and shining future awaits us.",154 in stock,1144,"Pokemon, Time Travel","celebi, Natural Cure, Time Travel",11 kg,2 x 2 x 2 cm,Selenium
Treecko,96.0,"Treecko is cool, calm, and collected—it never panics under any situation. If a bigger foe were to glare at this Pokémon, it would glare right back without conceding an inch of ground.",93 in stock,4817,"Pokemon, Wood Gecko","Overgrow, treecko, Wood Gecko",11 kg,1 x 1 x 1 cm,Selenium
Grovyle,190.0,"This Pokémon adeptly flies from branch to branch in trees. In a forest, no Pokémon can ever hope to catch a fleeing Grovyle however fast they may be.",195 in stock,9191,"Pokemon, Wood Gecko","grovyle, Overgrow, Wood Gecko",47.6 kg,2 x 2 x 2 cm,Selenium
Sceptile,37.0,Sceptile has seeds growing on its back. They are said to be bursting with nutrients that revitalize trees. This Pokémon raises the trees in a forest with loving care.,159 in stock,4619,"Forest, Pokemon","Forest, Overgrow, sceptile",115.1 kg,5 x 5 x 5 cm,Selenium
Torchic,28.0,Torchic has a place inside its body where it keeps its flame. Give it a hug—it will be glowing with warmth. This Pokémon is covered all over by a fluffy coat of down.,290 in stock,5952,"Chick, Pokemon","Blaze, Chick, torchic",5.5 kg,1 x 1 x 1 cm,Selenium
Combusken,68.0,Combusken battles with the intensely hot flames it spews from its beak and with outstandingly destructive kicks. This Pokémon’s cry is very loud and distracting.,257 in stock,9912,"Pokemon, Young Fowl","Blaze, combusken, Young Fowl",43 kg,2 x 2 x 2 cm,Selenium
Blaziken,40.0,Blaziken has incredibly strong legs—it can easily clear a 30-story building in one leap. This Pokémon’s blazing punches leave its foes scorched and blackened.,139 in stock,7662,"Blaze, Pokemon","Blaze, blaziken",114.6 kg,6 x 6 x 6 cm,Selenium
Mudkip,140.0,"In water, Mudkip breathes using the gills on its cheeks. If it is faced with a tight situation in battle, this Pokémon will unleash its amazing power—it can crush rocks bigger than itself.",193 in stock,5363,"Mud Fish, Pokemon","Mud Fish, mudkip, Torrent",16.8 kg,1 x 1 x 1 cm,Selenium
Marshtomp,152.0,"Marshtomp is much faster at traveling through mud than it is at swimming. This Pokémon’s hindquarters exhibit obvious development, giving it the ability to walk on just its hind legs.",258 in stock,6721,"Mud Fish, Pokemon","marshtomp, Mud Fish, Torrent",61.7 kg,2 x 2 x 2 cm,Selenium
Swampert,144.0,"Swampert predicts storms by sensing subtle differences in the sounds of waves and tidal winds with its fins. If a storm is approaching, it piles up boulders to protect itself.",113 in stock,9105,"Mud Fish, Pokemon","Mud Fish, swampert, Torrent",180.6 kg,4 x 4 x 4 cm,Selenium
Poochyena,130.0,Poochyena is an omnivore—it will eat anything. A distinguishing feature is how large its fangs are compared to its body. This Pokémon tries to intimidate its foes by making the hair on its tail bristle out.,265 in stock,4801,"Bite, Pokemon","Bite, poochyena, Run Away",30 kg,1 x 1 x 1 cm,Selenium
Mightyena,175.0,Mightyena travel and act as a pack in the wild. The memory of its life in the wild compels the Pokémon to obey only those Trainers that it recognizes to possess superior skill.,173 in stock,4220,"Bite, Pokemon","Bite, Intimidate, mightyena",81.6 kg,3 x 3 x 3 cm,Selenium
Zigzagoon,83.0,The hair on Zigzagoon’s back is bristly. It rubs the hard back hair against trees to leave its territorial markings. This Pokémon may play dead to fool foes in battle.,281 in stock,5175,"Pokemon, Tiny Raccoon","Pickup, Tiny Raccoon, zigzagoon",38.6 kg,1 x 1 x 1 cm,Selenium
Linoone,81.0,"When hunting, Linoone will make a beeline straight for the prey at a full run. While this Pokémon is capable of topping 60 mph, it has to come to a screeching halt before it can turn.",24 in stock,5845,"Pokemon, Rushing","linoone, Pickup, Rushing",71.6 kg,1 x 1 x 1 cm,Selenium
Wurmple,195.0,Wurmple is targeted by Swellow as prey. This Pokémon will try to resist by pointing the spikes on its rear at the attacking predator. It will weaken the foe by leaking poison from the spikes.,34 in stock,4841,"Pokemon, Worm","Shield Dust, Worm, wurmple",7.9 kg,1 x 1 x 1 cm,Selenium
Silcoon,80.0,"Silcoon was thought to endure hunger and not consume anything before its evolution. However, it is now thought that this Pokémon slakes its thirst by drinking rainwater that collects on its silk.",86 in stock,4018,"Cocoon, Pokemon","Cocoon, Shed Skin, silcoon",22 kg,2 x 2 x 2 cm,Selenium
Beautifly,145.0,"Beautifly has a long mouth like a coiled needle, which is very convenient for collecting pollen from flowers. This Pokémon rides the spring winds as it flits around gathering pollen.",42 in stock,4100,"Butterfly, Pokemon","beautifly, Butterfly, Swarm",62.6 kg,3 x 3 x 3 cm,Selenium
Cascoon,166.0,"If it is attacked, Cascoon remains motionless however badly it may be hurt. It does so because if it were to move, its body would be weak upon evolution. This Pokémon will also not forget the pain it endured.",122 in stock,3702,"Cocoon, Pokemon","cascoon, Cocoon, Shed Skin",25.4 kg,2 x 2 x 2 cm,Selenium
Dustox,91.0,"When Dustox flaps its wings, a fine dust is scattered all over. This dust is actually a powerful poison that will even make a pro wrestler sick. This Pokémon searches for food using its antennae like radar.",23 in stock,4491,"Poison Moth, Pokemon","dustox, Poison Moth, Shield Dust",69.7 kg,3 x 3 x 3 cm,Selenium
Lotad,161.0,"Lotad is said to have dwelled on land before. However, this Pokémon is thought to have returned to water because the leaf on its head grew large and heavy. It now lives by floating atop the water.",187 in stock,5098,"Pokemon, Water Weed","lotad, Swift Swim, Water Weed",5.7 kg,1 x 1 x 1 cm,Selenium
Lombre,79.0,"Lombre’s entire body is covered by a slippery, slimy film. It feels horribly unpleasant to be touched by this Pokémon’s hands. Lombre is often mistaken for a human child.",203 in stock,9674,"Jolly, Pokemon","Jolly, lombre, Swift Swim",71.6 kg,3 x 3 x 3 cm,Selenium
Ludicolo,189.0,"Upon hearing an upbeat and cheerful rhythm, the cells in Ludicolo’s body become very energetic and active. Even in battle, this Pokémon will exhibit an amazing amount of power.",181 in stock,6718,"Carefree, Pokemon","Carefree, ludicolo, Swift Swim",121.3 kg,4 x 4 x 4 cm,Selenium
Seedot,26.0,Seedot looks exactly like an acorn when it is dangling from a tree branch. It startles other Pokémon by suddenly moving. This Pokémon polishes its body once a day using leaves.,28 in stock,8692,"Acorn, Pokemon","Acorn, Chlorophyll, seedot",8.8 kg,1 x 1 x 1 cm,Selenium
Nuzleaf,26.0,This Pokémon pulls out the leaf on its head and makes a flute with it. The sound of Nuzleaf’s flute strikes fear and uncertainty in the hearts of people lost in a forest.,216 in stock,3835,"Pokemon, Wily","Chlorophyll, nuzleaf, Wily",61.7 kg,3 x 3 x 3 cm,Selenium
